mz,MSS1b.mzML,MSS2b.mzML,MSS3b.mzML,MSS4b.mzML,MSS5b.mzML,MSS5b1.mzML,MSS5b2.mzML,MSS5b3.mzML,MSS6b.mzML,MSS13b.mzML,MSS13b1.mzML,MSS13b2.mzML,MSS13b3.mzML,MSS10b.mzML,MSS11b.mzML,MSS11b1.mzML,MSS11b2.mzML,MSS11b3.mzML,MSS14b.mzML,MSS14b1.mzML,MSS14b2.mzML,MSS14b3.mzML,n_blank,pval,qval
265.0596600247421,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,203161.828125,nan,nan,157930.40625,307920.8125,0,0.024606767848050357,0.30727701350252884
237.02826380491763,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,95071.203125,124820.796875,nan,nan,nan,nan,nan,nan,200632.96875,0,0.0246106822974075,0.30353174833469249
192.05556756366187,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124452.0859375,nan,nan,nan,138291.578125,nan,265143.34375,nan,0,0.024613226552714331,0.29986113812392218
110.97560513926813,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,168752.109375,nan,nan,nan,nan,193998.0625,nan,384878.53125,nan,1,0.024615677654336626,0.2962778551407505
305.1281140004943,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,147467.953125,400795.0625,nan,nan,nan,nan,nan,nan,356349.09375,1,0.024626737937363228,0.29288227618364121
282.0786776347928,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,88822.3046875,nan,nan,nan,nan,133864.578125,nan,425373.78125,nan,0,0.024669198932589096,0.28993564392537069
103.52065705012684,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29543.99609375,nan,nan,173160.515625,76880.4453125,0,0.024690123085324197,0.28680736002603341
293.0548370637422,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25592.638671875,nan,22999.142578125,nan,nan,nan,nan,107946.1796875,nan,0,0.024690574974746509,0.28351591264105475
117.53627376227716,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,938438.4375,nan,nan,214165.546875,149854.171875,0,0.024696583430240997,0.28036235053194042
154.1076131117672,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,980815.5625,nan,nan,138933.96875,147831.203125,1,0.024729326616160938,0.27757974482634579
202.0711236978032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2035645.375,nan,nan,226637.59375,265572.03125,nan,nan,nan,0,0.024750426715659166,0.27472973654381677
159.0629701890531,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3951619.0,nan,nan,845407.125,12720138.0,1,0.024759734625159343,0.27181291088499104
240.02703903941108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2832921.75,nan,nan,52091.45703125,106492.7421875,nan,nan,nan,0,0.025096495613681942,0.27251520780508981
106.0500991267762,nan,nan,nan,nan,nan,168346.015625,nan,214070.171875,nan,212508.546875,107874.109375,nan,nan,230786.203125,759954.9375,100239.640625,167706.859375,nan,418364.5625,nan,642115.0625,545986.4375,4,0.025488526850293323,0.27379611100476375
166.08640545539075,nan,nan,nan,nan,nan,126309.1484375,nan,128264.453125,nan,nan,106871.59375,nan,192515.515625,nan,652740.25,70493.125,111710.203125,97112.78125,202635.609375,nan,504588.9375,712691.875,4,0.026378294846819628,0.28033953778694476
537.1659854047628,81067.5859375,95879.46875,62312.69140625,72181.71875,96461.8203125,56034.765625,nan,37386.3984375,94746.3671875,nan,64196.65625,nan,nan,nan,nan,nan,68044.0625,nan,22130.517578125,nan,nan,nan,9,0.027268650019629009,0.28675138283799345
257.04233396170207,nan,71554.7265625,nan,124267.8515625,nan,nan,nan,80179.0546875,nan,nan,102133.625,nan,nan,109100.78125,194920.140625,83162.25,118609.46875,nan,83966.8984375,nan,138375.953125,292828.0,2,0.027516770437791438,0.28634639236826714
320.2433956942216,165817.3125,139942.90625,99721.328125,91228.90625,133186.953125,nan,nan,99986.3671875,138503.359375,nan,nan,58402.6328125,94387.078125,nan,nan,53508.87109375,76600.28125,nan,nan,nan,nan,nan,6,0.027629252029467134,0.28455281213853262
405.223575189682,417782.5625,418134.625,191923.875,189804.765625,419536.84375,259110.671875,nan,nan,464495.46875,133971.796875,161750.875,nan,nan,304924.34375,nan,nan,nan,nan,133491.40625,nan,nan,nan,7,0.028968399356787446,0.29530031589214956
432.23842101086035,12279137.0,12639328.0,5277879.5,7072156.0,20210934.0,3892550.25,38334.65625,3761526.25,13643006.0,4856124.5,4147702.0,1475353.0,5209024.0,8714597.0,1409536.0,932556.0,627891.8125,842166.625,4476660.0,31024.931640625,787296.75,358946.84375,11,0.030032762094428973,0.30305787204378326
300.20187808044824,3716520.0,nan,1848347.0,1053875.25,nan,1022297.6875,9379.2109375,nan,3329203.25,nan,nan,nan,7871498.0,347581.375,604926.0625,138817.515625,158456.71875,233402.09375,723908.4375,70208.609375,3457393.5,75783.609375,10,0.030648609277468913,0.30617960668191446
321.1311294225354,938908.875,nan,nan,1202754.5,423401.5,262793.125,6805.8857421875,234789.875,505565.21875,nan,nan,nan,2430512.25,817694.0625,1346622.25,130955.6953125,200657.015625,288447.25,972251.5625,139094.078125,2211431.25,428256.78125,11,0.031729279303472482,0.31383712895216842
357.28322639805447,nan,nan,70664.15625,68331.765625,57921.30078125,nan,nan,nan,67923.578125,nan,nan,nan,61248.6640625,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,0.035038957459474288,0.34317567158838053
191.1280006963965,112047.203125,111219.1328125,90270.125,nan,100841.890625,nan,nan,nan,96988.1015625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4,0.035039183551641817,0.33984606182611821
204.1596299601144,nan,nan,117974.46875,106829.765625,123872.6171875,nan,nan,89881.234375,120465.2890625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6,0.035040883123933095,0.33659463693085728
109.06499756785637,1137609.25,1026971.5,1043725.375,837510.375,nan,nan,nan,nan,786926.3125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.035041574634820695,0.33339555295415119
133.10135846777692,nan,324348.4375,216184.921875,nan,238610.78125,234091.765625,nan,nan,226032.5625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,0.035042292422151282,0.33025707669555782
