mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a3.mzML,MSS5a2.mzML,MSS6a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS13a.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a3.mzML,MSS11a2.mzML,MSS11a1.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,pval,qval
225.09120072582783,nan,nan,nan,nan,nan,nan,nan,nan,nan,134303.28125,125212.3359375,nan,nan,nan,nan,158930.078125,161327.046875,nan,nan,nan,nan,0.027679850875367697,6858.0
333.04703111961805,nan,nan,282185.28125,nan,754097.625,305412.0625,263990.96875,80137.234375,164135.546875,97710.0390625,nan,nan,nan,nan,405857.75,nan,nan,nan,930681.5625,729007.375,585426.8125,0.02772786768531664,6766.56
100.11230969178423,nan,nan,nan,nan,nan,544910.4375,1286605.375,nan,1276308.125,601529.1875,nan,nan,nan,nan,1282515.625,955905.5,2744446.75,nan,3014677.75,2665225.25,1783715.125,0.029042996912766832,6677.526315789473
112.89595574753235,nan,nan,nan,nan,nan,309376.78125,626394.0625,572123.75,298598.46875,172862.328125,nan,nan,nan,nan,nan,nan,nan,nan,1151202.5,923933.75,695118.8125,0.031090846069686144,6590.805194805195
166.08641797010114,nan,nan,273979.625,nan,nan,835852.0,577645.875,125481.3203125,827317.75,335988.59375,88895.296875,132343.265625,nan,241797.9375,967732.4375,413566.5,520174.28125,nan,2194760.75,2150474.75,1697609.875,0.031139053251906749,6506.307692307692
299.1491349593767,900064.0,865948.875,214350.796875,680233.125,nan,nan,272594.96875,414946.28125,423403.375,539642.9375,383777.5625,890891.375,nan,170091.046875,nan,202944.453125,272720.125,421433.78125,nan,nan,nan,0.031486307787867297,6423.949367088608
185.11503255811482,nan,nan,242879.234375,nan,240205.28125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,439937.90625,380355.5625,320153.6875,0.033083248499332224,6343.65
257.04231958976743,93186.1171875,nan,322247.59375,nan,nan,206134.171875,243803.9375,105045.40625,165711.3125,129119.9921875,nan,nan,nan,298882.625,373070.375,245375.515625,177000.703125,121525.96875,520349.90625,516259.5,457291.84375,0.034193271945069492,6265.333333333333
73.06504836016758,253506.53125,nan,210412.109375,257920.375,213432.421875,196274.546875,187181.234375,226210.734375,nan,195154.515625,162623.28125,275114.0625,nan,173788.25,nan,nan,nan,242800.25,nan,131101.28125,114254.1015625,0.035794733483468288,6188.926829268293
353.0134732631297,nan,nan,47135.8359375,112404.890625,nan,nan,157856.53125,nan,nan,nan,nan,nan,nan,nan,204988.90625,nan,nan,nan,335781.9375,342103.34375,184819.890625,0.037464183221556681,6114.361445783133
