mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a1.mzML,MSS5a2.mzML,MSS5a3.mzML,MSS6a.mzML,MSS13a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS1b.mzML,MSS2b.mzML,MSS3b.mzML,MSS4b.mzML,MSS5b.mzML,MSS5b1.mzML,MSS5b2.mzML,MSS5b3.mzML,MSS6b.mzML,MSS13b.mzML,MSS13b1.mzML,MSS13b2.mzML,MSS13b3.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a1.mzML,MSS11a2.mzML,MSS11a3.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,MSS10b.mzML,MSS11b.mzML,MSS11b1.mzML,MSS11b2.mzML,MSS11b3.mzML,MSS14b.mzML,MSS14b1.mzML,MSS14b2.mzML,MSS14b3.mzML,n_blank,pval,qval
224.10010373478468,573716.625,1604593.25,368637.4375,367430.21875,275035.21875,nan,nan,nan,nan,nan,119268.0546875,84563.921875,nan,nan,1086255.375,28251.880859375,nan,nan,164508.171875,nan,130595.5390625,nan,nan,73037.5703125,nan,78819.7421875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00017025427261751672,0.010598328470440416
305.0995635186904,2273922.75,940928.3125,14729573.0,481151.125,nan,nan,nan,nan,nan,nan,8388234.0,nan,476227.8125,nan,299345.0625,123550.0234375,231869.234375,nan,242839.96875,nan,209334.8125,nan,nan,959190.8125,596718.625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00017345646251343578,0.010470462828083759
79.02147268736907,1421595.625,1490799.0,nan,1822332.25,1169747.625,nan,1287863.0,1283433.5,1165771.375,nan,1307558.25,1366099.75,1327999.625,1690307.75,1644511.375,1492735.375,1703224.0,1876982.0,1438249.125,nan,1490111.875,1651353.5,nan,1420607.875,1253964.625,1252009.5,nan,nan,nan,nan,nan,1113523.75,nan,nan,nan,1116271.0,nan,1090073.75,1154889.625,nan,1053935.25,nan,nan,nan,9,0.00018140692061238364,0.010628311348819653
168.12322230594825,196214.140625,3621218.25,nan,253578.46875,nan,nan,nan,nan,230117.046875,nan,nan,nan,363679.8125,395016.5,362149.8125,254814.40625,141489.828125,138231.921875,248472.359375,nan,87414.4921875,276370.3125,nan,100515.9453125,nan,224593.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,209655.859375,nan,7,0.00019516916650108546,0.011107913704861777
328.17935362585155,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,245366.0625,nan,nan,246667.84375,nan,335921.4375,281376.84375,310611.4375,nan,183860.328125,nan,nan,nan,nan,nan,nan,191172.421875,0,0.00027267914622260847,0.015088246090984334
130.52591989141283,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,168074.40625,164576.375,343523.15625,343969.09375,nan,nan,239982.359375,352786.6875,nan,nan,nan,102231.984375,nan,nan,nan,nan,nan,1,0.00027410886876962743,0.014757428826732375
230.9904075038923,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,132392.015625,329034.03125,251931.8125,nan,542192.875,488063.46875,426185.8125,nan,nan,nan,nan,nan,nan,nan,nan,101036.9765625,0,0.00027563217501184133,0.014448928753252313
272.06551216786374,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1163238.625,103499.28125,nan,487263.5625,nan,nan,nan,128452.90625,174660.6875,nan,186397.5,nan,nan,nan,nan,nan,46125.359375,nan,0,0.00028152045264772985,0.014379198504468662
128.98613256537504,nan,nan,nan,nan,nan,1138701.375,3600125.5,nan,321257.4375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1096937.625,1040927.125,2114783.25,281512.5625,2320509.0,2266633.25,2202561.0,377647.21875,nan,nan,nan,185755.34375,344142.40625,nan,758187.4375,nan,1,0.00030766421442691522,0.015321677878460376
106.08647261891618,nan,508109.3125,567436.9375,525007.0,800040.3125,nan,nan,nan,528286.25,nan,nan,nan,135045.953125,555130.25,521820.9375,436718.78125,63386.578125,280209.90625,174953.40625,2277.85205078125,nan,185193.625,nan,102199.1796875,207206.140625,nan,nan,230669.65625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5375.0009765625,nan,nan,6,0.00030821141459361803,0.014974564338304564
